Station_name,native_id,lat,lon,Elevation
Atlin School,AtlSch,59.574,-133.687,705.0
Cassiar,CasWx,59.251,-129.86,1577.0
Monarch-1,Mon1,59.544,-133.617,1410.0
Northern Dancer,NDWx,60.008,-131.6,1628.0
Goose Lake Rd,Goose,50.5626,-120.43,1147.0
Isobel Lake (IDFxh2),Isobel,50.8406,-120.4231,1030.0
LDB - Lower grassland,LDBLG,50.7285,-120.4383,572.0
LDB - LowerUpper grassland,LDBG1,50.7868,-120.4483,919.0
LDB - Middle grassland,LDBMG,50.7533,-120.4158,693.0
LDB - Upper grassland,LDBUG,50.7285,-120.4383,978.0
LDB - UpperMiddle grassland,LDBG2,50.7613,-120.435,767.0
Arrowstone,Arrow,50.906011,-120.301383,1575.0
Chase Creek,Chase Creek,50.758333,-119.533333,700.0
Sicamouse Creek - WV1,WV1,53.772719,-122.718656,1530.0
Upper Penticton - PK,PK,49.3917,-119.23359,1628.0
Upper Penticton Creek - P1,P1,49.651744,-119.398655,1619.0
Upper Penticton Creek - P5,P5,49.658049,-119.403066,1673.0
Upper Penticton Creek - PB,PB,49.673323,-119.378929,1885.0
Upper Penticton Creek - PC,PC,49.674375,-119.377021,1917.0
Upper Penticton Creek - PJ,PJ,49.659806,-119.392864,1677.0
Upper Penticton Creek - PL,PL,49.670023,-119.376919,1853.0
CrookedLk,CrookedLk,59.88626,-126.42886,669.0
DavisPGTIS,PGTISDavis,53.77202,-122.7229,613.0
Hudson Bay Stn,Hudson Bay Stn,54.77684,-127.29603,1669.0
IBB1Wx,IBB1,53.72029,-127.25169,1146.0
IBB2Wx,IBB2,54.81127,-126.92067,967.0
IBB3Wx,IBB3,54.71172,-127.30577,960.0
Inklin,Inklin,58.900859,-133.140416,101.0
KennedySidingCC,KennedySidingCC,55.112303,-122.818003,737.0
KennedySidingFor,KennedySidingFor,55.111059,-122.841542,745.0
SeebachWx,Seebach,54.355,122.058,780.0
SumWxCC,SummitLk,54.22704,-122.615111,690.0
Tamarac,Bednesti,53.871334,-123.370441,865.0
Ape Lake,3C09P,52.1345694,-126.2626806,1423.0
Cain Ridge_Run,3B28P,50.2265,-126.3515,1330.0
CLAYTON FALLS,3C10P,52.279579,-126.890543,1260.0
Datlaman Pass,Datla,53.545561,-132.584234,287.0
Homathko,3A30P,51.10187,-124.950181,1481.0
Klinakllini,3C11P,51.38002,-125.76953,1532.0
Lower Cain,3B29P,50.22575,-126.3563,1260.0
Machmell Kliniklini,3C12P,51.6555806,-126.140744,1601.0
Mount Buxton,Mount Buxton,51.5899,-127.975,738.0
Mount Cayley,3A31P,50.070953,-123.27747,1588.0
Mount Maya,3C13P,52.287,-126.073,1692.0
Perseverence Creek,3a29P,49.594,-125.131,970.0
Place Glacier,1D20P,50.420312,-122.61442,2300.0
Plummer Hut,3A32P,51.3735,-125.1645,2680.0
Rennell Pass,RennellP,53.3434,-132.3655,316.0
Russell at mouth,Russell_Main,50.3251,-126.41,280.0
Stephanie 1,STEPH_1,50.306645,-126.35681,1516.0
Stephanie 2,STEPH_2,50.3124,-126.3627,1164.0
Stephanie 3,STEPH_3,50.3181,-126.3631,1030.0
Stephanie 4,STEPH_4,50.3171,-126.355,950.0
Stephanie 6,STEPH_6,50.3186,-126.35,820.0
Stephanie 7,STEPH_7,50.3257,-126.3574,718.0
Stephanie 8,STEPH_8,50.3329,-126.3652,593.0
Upper Cruickshank,3B27P,49.669,-125.361,1348.0
Upper Russell,Upper_Russell,50.3447,-126.3616,493.0
Upper Skeena,4B19P,56.539786,-127.655889,1571.0
Mayson Lake - M2,M2,51.216528,-120.388667,1277.0
Mayson Lake - M3,M3,51.217611,-120.401694,1290.0
Mayson Lake - M4,M4,51.219111,-122.058,
Mayson Lake - M5,M5,51.212361,-120.412222,1314.0
Mayson Lake - M8,M8,51.022475,-120.384583,1270.0
